locality,Year,house_price
CORIO,2019,354000.00
CORONET BAY,2019,365000.00
CORRYONG,2019,236000.00
COWES,2019,560000.00
COWES WEST,2019,508500.00
CRAIGIEBURN,2019,530000.00
CRANBOURNE,2019,500000.00
CRANBOURNE EAST,2019,565000.00
CRANBOURNE NORTH,2019,570000.00
CRANBOURNE WEST,2019,520000.00
CREMORNE,2019,1267000.00
CRESWICK,2019,345000.00
CRIB POINT,2019,527500.00
CROYDON,2019,732500.00
CROYDON HILLS,2019,835000.00
CROYDON NORTH,2019,825000.00
CROYDON SOUTH,2019,716000.00
CURLEWIS,2019,560000.00
DALLAS,2019,451500.00
DALYSTON,2019,373000.00
DANDENONG,2019,602000.00
DANDENONG NORTH,2019,605000.00
DARLEY,2019,520000.00
DARTMOOR,2019,157500.00
DAYLESFORD,2019,590000.00
DEANSIDE,2019,-
DEEPDENE,2019,2758000.00
DEER PARK,2019,550000.00
DELACOMBE,2019,390000.00
DELAHEY,2019,530000.00
DENNINGTON,2019,360000.00
DERRIMUT,2019,649000.00
DERRINALLUM,2019,221500.00
DIAMOND CREEK,2019,751500.00
DIGGERS REST,2019,515000.00
DIMBOOLA,2019,120000.00
DINGLEY VILLAGE,2019,810000.00
DINNER PLAIN,2019,520000.00
DONALD,2019,135500.00
DONCASTER,2019,1251500.00
DONCASTER EAST,2019,1190000.00
DONVALE,2019,1121000.00
DOREEN,2019,597500.00
DOVETON,2019,470000.00
DROMANA,2019,715500.00
DROUIN,2019,440000.00
DRYSDALE,2019,572500.00
DUNKELD,2019,225000.00
DUNOLLY,2019,234500.00
EAGLE POINT,2019,360000.00
EAGLEHAWK,2019,321500.00
EAGLEMONT,2019,1799000.00
EAST BAIRNSDALE,2019,235000.00
EAST BENDIGO,2019,390000.00
EAST GEELONG,2019,625000.00
EAST MELBOURNE,2019,3413500.00
EAST WARBURTON,2019,446500.00
EASTWOOD,2019,410000.00
ECHUCA,2019,370000.00
EDENHOPE,2019,173000.00
EDITHVALE,2019,954000.00
EILDON,2019,251500.00
ELLIMINYT,2019,445000.00
ELMORE,2019,235000.00
ELSTERNWICK,2019,1750000.00
ELTHAM,2019,925000.00
ELTHAM NORTH,2019,930000.00
ELWOOD,2019,1952500.00
EMERALD,2019,660000.00
ENDEAVOUR HILLS,2019,620000.00
EPPING,2019,550000.00
EPSOM,2019,371500.00
ESSENDON,2019,1447000.00
ESSENDON NORTH,2019,1100000.00
ESSENDON WEST,2019,1160000.00
EUMEMMERRING,2019,540000.00
EUREKA,2019,360000.00
EUROA,2019,309000.00
EYNESBURY,2019,558500.00
FAIRFIELD,2019,1290000.00
FAIRHAVEN,2019,1395000.00
FAWKNER,2019,665000.00
FERNTREE GULLY,2019,692000.00
FERNY CREEK,2019,733000.00
FINGAL,2019,1240000.00
FITZROY,2019,1392500.00
FITZROY NORTH,2019,1377500.00
FIVEWAYS,2019,485000.00
FLEMINGTON,2019,1000000.00
FLINDERS,2019,1670000.00
FLORA HILL,2019,370000.00
FLOWERDALE,2019,290000.00
FOOTSCRAY,2019,810000.00
FOREST HILL,2019,900000.00
FOSTER,2019,325000.00
FRANKSTON,2019,580500.00
FRANKSTON NORTH,2019,423000.00
FRANKSTON SOUTH,2019,817500.00
FRASER RISE,2019,598000.00
FYANSFORD,2019,617500.00
GARDEN CITY,2019,1375000.00
GARDENVALE,2019,1740000.00
GARFIELD,2019,540000.00
GEELONG,2019,720000.00
